North Harrison High School, Indiana*38.322028*-86.1441722
Providence High School, Indiana*35.1108421*-80.76364819999999
South Central (Elizabeth) High School, Indiana*38.0820991*-86.0018116
Cannelton High School, Indiana*37.9100712*-86.74398579999999
Forest Park High School, Indiana*38.6118993*-77.36405959999999
Heritage Hills High School, Indiana*38.1197533*-86.9881688
Jasper High School, Indiana*38.4027107*-86.95074
Loogootee High School, Indiana*38.6779439*-86.9212472
Northeast Dubois High School, Indiana*38.4509433*-86.7964178
Perry Central High School, Indiana*38.11134699999999*-86.60414999999999
Shoals High School, Indiana*38.66743779999999*-86.7776262
South Spencer High School, Indiana*37.9035151*-87.1063928
Southridge High School, Indiana*45.4500912*-122.8075238
Springs Valley High School, Indiana*38.5504533*-86.61587150000001
Tell City High School, Indiana*37.9546249*-86.76340689999999
Barr-Reeve High School, Indiana*38.668275*-87.049189
Gibson Southern High School, Indiana*38.2382679*-87.6347127
North Daviess High School, Indiana*38.84743470000001*-87.06191919999999
North Knox High School, Indiana*38.8350125*-87.3132612
Pike Central High School, Indiana*38.4343374*-87.24238869999999
Princeton Community High School, Indiana*38.3690032*-87.5704815
South Knox High School, Indiana*38.6353632*-87.4214664
Tecumseh High School, Indiana*39.9147228*-83.99641439999999
Vincennes Lincoln High School, Indiana*38.6509208*-87.5000211
Vincennes Rivet High School, Indiana*38.6780842*-87.5342088
Washington High School, Indiana*47.14342*-122.454988
Washington Catholic High School, Indiana*38.6593116*-87.17358970000001
Boonville High School, Indiana*38.0528013*-87.2800146
Castle High School, Indiana*37.984834*-87.384368
Evansville Bosse High School, Indiana*37.963822*-87.540014
Evansville Central High School, Indiana*38.029117*-87.578447
Evansville Harrison High School, Indiana*37.97381*-87.48605700000002
Evansville Reitz Memorial High School, Indiana*37.971318*-87.53681499999999
Evansville North High School, Indiana*38.115449*-87.551358
Evansville F. J. Reitz High School, Indiana*37.972065*-87.60554900000001
Mt. Vernon High School, Indiana*38.7266329*-77.09272469999999
North Posey High School, Indiana*38.1421044*-87.80190569999999
Signature High School, Indiana*37.9729899*-87.5686546
